category,baseline_examples,baseline_runs,baseline_quality,baseline_latency_ms,baseline_total_tokens,baseline_cost_usd,baseline_latency_cv,candidate_examples,candidate_runs,candidate_quality,candidate_latency_ms,candidate_total_tokens,candidate_cost_usd,candidate_latency_cv,quality_delta_pp,latency_delta_pct,token_delta_pct,cost_delta_pct,verdict,reason
Classification,50,146,0.9657534246575342,1404.8766680477943,48.986301369863014,1.128e-05,0.24662347667250878,50,150,0.9133333333333333,761.7755074463881,44.17333333333333,9.4084e-06,1.256248352858718,-5.242009132420089,-45.776342879624764,-9.825130499627143,-16.59219858156029,MOVE,"Quality retained and lower mean latency, tokens, cost"
Extraction,5,14,0.9761904761904762,1584.9978412126281,65.71428571428571,2.028e-05,0.16039447782896896,5,15,1.0,758.54325373269,70.53333333333333,2.2916e-05,0.20904377560622153,2.3809523809523836,-52.14231628527934,7.333333333333347,12.998027613412223,PILOT,Quality retained with lower mean latency only
Summarisation,50,144,0.7280092592592592,1693.3892668265698,80.04861111111111,2.5649236111111112e-05,0.25246379838960964,50,150,0.7155555555555555,1533.2582572065196,76.37333333333333,2.47424e-05,2.118893395191209,-1.245370370370369,-9.456243331466109,-4.591307365316211,-3.535528727572035,HOLD,Mean quality 72% is below the 80% absolute floor
