category,baseline_examples,baseline_runs,baseline_quality,baseline_latency_ms,baseline_total_tokens,baseline_cost_usd,baseline_latency_cv,candidate_examples,candidate_runs,candidate_quality,candidate_latency_ms,candidate_total_tokens,candidate_cost_usd,candidate_latency_cv,quality_delta_pp,latency_delta_pct,token_delta_pct,cost_delta_pct,verdict,reason
Classification,50,150,0.96,1461.0063863993855,48.9,1.59e-05,0.26369745915275966,50,150,0.9266666666666666,773.2313294667014,44.14,9.3914e-06,0.9295371293068697,-3.3333333333333326,-47.07543124624451,-9.734151329243346,-40.93459119496856,MOVE,"Quality held at parity and lower mean latency, tokens, cost"
Extraction,5,15,0.9777777777777777,1427.7586521309179,66.46666666666667,3.8159999999999994e-05,0.21977907461528506,5,15,0.9666666666666667,1031.9072907999118,70.86666666666666,2.3086000000000002e-05,0.7089398035685253,-1.1111111111111072,-27.725369462142723,6.619859578736187,-39.502096436058686,MOVE,"Quality held at parity and lower mean latency, cost"
Summarisation,50,145,0.7287356321839081,2156.6810428411277,79.33793103448276,4.777103448275862e-05,1.746764612783454,50,150,0.701111111111111,1023.1911120931909,76.74666666666667,2.49328e-05,0.8446434964235722,-2.7624521072797115,-52.55714258306463,-3.266110338433015,-47.80770341283132,MOVE,"Quality held at parity and lower mean latency, tokens, cost; neither model met the 80% quality floor"
