category,baseline_examples,baseline_runs,baseline_quality,baseline_latency_ms,baseline_total_tokens,baseline_cost_usd,baseline_latency_cv,candidate_examples,candidate_runs,candidate_quality,candidate_latency_ms,candidate_total_tokens,candidate_cost_usd,candidate_latency_cv,quality_delta_pp,latency_delta_pct,token_delta_pct,cost_delta_pct,verdict,reason
Classification,50,150,0.96,3483.296059339997,44.08,8.205840000000001e-05,1.0538724014210457,50,150,0.88,3419.5975068933194,44.21333333333333,9.4288e-06,0.5412797150054558,-7.9999999999999964,-1.8286861455798054,0.3024803387779773,-88.50964678814113,MOVE,"Quality held at parity and lower mean latency, cost"
Extraction,5,15,1.0,2945.2705541333366,65.0,0.000155208,0.12561700246766824,5,15,0.9444444444444444,2901.8491742000306,71.4,2.3358000000000002e-05,0.07294862300147772,-5.555555555555558,-1.4742747443819537,9.846153846153861,-84.95051801453532,MOVE,"Quality held at parity and lower mean latency, cost"
Summarisation,50,150,0.6366666666666667,4609.487672333328,75.14666666666666,0.0001842544,1.2735549976820533,50,150,0.7022222222222222,3804.9889919533466,76.45333333333333,2.47832e-05,0.6953613192913279,6.555555555555548,-17.453104066394943,1.738821859474804,-86.54946638994781,MOVE,"Quality held at parity and lower mean latency, cost; neither model met the 80% quality floor"
