category,baseline_examples,baseline_runs,baseline_quality,baseline_latency_ms,baseline_total_tokens,baseline_cost_usd,baseline_latency_cv,candidate_examples,candidate_runs,candidate_quality,candidate_latency_ms,candidate_total_tokens,candidate_cost_usd,candidate_latency_cv,quality_delta_pp,latency_delta_pct,token_delta_pct,cost_delta_pct,verdict,reason
Classification,50,150,0.96,1297.1014106063133,48.913333333333334,1.5916e-05,0.1751505906889853,50,150,0.8733333333333333,1774.905544740468,44.24666666666667,9.4458e-06,2.8810790732359877,-8.666666666666668,36.836297472748214,-9.540684203352868,-40.65217391304348,HOLD,Candidate exceeded the 20% regression allowance on mean latency
Extraction,5,15,0.9777777777777777,1393.9638873993924,65.86666666666666,3.744e-05,0.10407901070030816,5,15,0.9666666666666667,1289.431102600065,71.86666666666666,2.3596000000000002e-05,0.6412244510660321,-1.1111111111111072,-7.498959316252152,9.109311740890691,-36.97649572649572,MOVE,"Quality retained and lower mean latency, cost"
Summarisation,50,150,0.7444444444444445,1582.593403753126,79.03333333333333,4.748e-05,0.2491995572507288,50,150,0.7177777777777778,1259.3183726067946,76.50666666666666,2.48104e-05,1.6203143496396388,-2.6666666666666616,-20.42691637534212,-3.1969633066216807,-47.74557708508846,HOLD,Mean quality 72% is below the 80% absolute floor
