model_pair,run_label,run_order,prompts,mean,variance,std_dev,ci95_low,ci95_high
DeepSeek-V4-Flash vs gpt-4.1-mini,Cold 0,0,100.0,0.9756209039932429,5.618216042247192e-05,0.007495475997057953,0.9741517906978195,0.9770900172886662
DeepSeek-V4-Flash vs gpt-4.1-mini,Warm 1,1,100.0,0.976511284464149,4.7122519764358236e-05,0.00686458445678675,0.9751658259106188,0.9778567430176792
DeepSeek-V4-Flash vs gpt-4.1-mini,Warm 2,2,100.0,0.975348823861743,5.8884478509378674e-05,0.0076736222548010975,0.973844793899802,0.976852853823684
DeepSeek-V4-Flash vs gpt-5.4,Cold 0,0,100.0,0.9719199773969663,7.270736675657892e-05,0.008526861483370004,0.9702487125462258,0.9735912422477069
DeepSeek-V4-Flash vs gpt-5.4,Warm 1,1,100.0,0.9729325479009638,6.11435937371718e-05,0.007819436919444506,0.9713999382647527,0.974465157537175
DeepSeek-V4-Flash vs gpt-5.4,Warm 2,2,100.0,0.9716107424268895,7.613256400806879e-05,0.008725397641830931,0.9699005644890907,0.9733209203646883
gpt-4.1-mini vs gpt-5.4,Cold 0,0,100.0,0.971686819679732,7.401563989724832e-05,0.008603234269578408,0.9700005857628946,0.9733730535965694
gpt-4.1-mini vs gpt-5.4,Warm 1,1,100.0,0.9727079664606484,6.225380643268749e-05,0.007890108138212523,0.9711615052655588,0.974254427655738
gpt-4.1-mini vs gpt-5.4,Warm 2,2,100.0,0.9713751277534527,7.748973601614121e-05,0.008802825456416889,0.969649773963995,0.9731004815429104
