pair_type,prompts,mean,variance,std_dev,ci95_low,ci95_high
cold-to-warm consistency,100.0,0.8751572239512102,0.0014129866764797105,0.037589715035893936,0.867789639804175,0.8825248080982454
cross-model agreement,100.0,0.8896706010704938,0.001098195167582433,0.033139027861155385,0.8831753516097073,0.8961658505312803
reference similarity,100.0,0.18663946248999663,0.024915927976321292,0.15784780003636822,0.15570129368286847,0.2175776312971248
within-model repeat,100.0,0.8712471119154531,0.001496915943880829,0.03868999798243506,0.8636638723108958,0.8788303515200104
